"CO2f","CH4f","CH4b","N2O","CO2b","Autres GES","Type poste","Type de l'élément","Nom base français","Code de la catégorie","Unité français","Unité anglais","Contributeur","Localisation géographique","Incertitude","Période de validité","Statut de l'élément","Nom attribut français","Total poste non décomposé"
,,,,,,,"Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base d'huiles alimentaires usagées (HAU)",0.544
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base d'huiles alimentaires usagées (HAU)",0.116
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base d'huiles alimentaires usagées (HAU)",0.346
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base d'huiles alimentaires usagées (HAU)",0.082
,,,,,,"Combustion","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base d'huiles alimentaires usagées (HAU)",0
,,,,,,,"Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base de graisses animales",0.712
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base de graisses animales",0.284
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base de graisses animales",0.346
,,,,,,"Amont","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base de graisses animales",0.082
,,,,,,"Combustion","Facteur d'émission","HVO 100","Combustibles > Organiques > Liquides","kgCO2e/litre","kgCO2e/liter","ALTENS","France continentale",20,"2025","Valide générique","à base de graisses animales",0
,,,,,,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2021","Valide générique","mix annuel 2020",0.49
,,,,,,"Amont","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2021","Valide générique","mix annuel 2020",0.49
,,,,,,"Combustion","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2021","Valide générique","mix annuel 2020",0
,,,,,,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de tournesol",0.639
0.504,0.022,0.00101,0.406,0,0.011,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de colza",0.944
0.335,0.013,0,0.113,0,0.005,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (avec capture de méthane)",0.466
0.286,0.011,0.158,0.0959,0,0.004,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (sans capture de méthane)",0.555
0.105,0.00399,0,0.00106,0,0.001,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huiles de cuisson",0.111
0.09,0.003,0,0.00106,0,0.001,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base de distillat d'acides gras d'huile de palme comme résidu",0.0951
0.321,0.012,0,0.00212,0,0.003,,"Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base de graisses animales",0.338
0.504,0.022,0.00101,0.406,0,0.011,"Amont","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de colza",0.944
0,0,0,0,0,0,"Combustion","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de colza",0
0.335,0.013,0,0.113,0,0.005,"Amont","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (avec capture de méthane)",0.466
0,0,0,0,0,0,"Combustion","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (avec capture de méthane)",0
0.286,0.011,0.158,0.0959,0,0.004,"Amont","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (sans capture de méthane)",0.555
0,0,0,0,0,0,"Combustion","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de palme (sans capture de méthane)",0
,,,,,,"Amont","Facteur d'émission","Biopropane","Combustibles > Organiques > Gazeux","kgCO2e/litre","kgCO2e/Liter","PRIMAGAZ","France continentale",20,"31/12/2024","Valide générique","à base d'huile de tournesol",0.639
